FEATURE_NO,FEATURE_PRICE,FEATURE_TYPE,FEATURE_VALUE,CAR_NO,FEATURE_DESC
260,500000,제어시스템,크루즈 컨트롤,47,
261,1200000,편의기능,2존 자동 온도 조절 시스템,47,
262,300000,편의기능,차량 내부 감시 시스템,47,
263,2400000,편의기능,내비게이션,47,
264,6000000,편의기능,Burmester 하이엔드 서라운드 사운드 시스템,47,
265,1300000,성능,20/21인치 카레라 익스클루시브 디자인 휠,48,
266,7400000,성능,에어로킷 + 카본,48,
267,4100000,성능,에어로킷,48,
268,3900000,편의기능,나이트 뷰 어시스트,48,
269,2300000,편의기능,서라운드 뷰 + 액티브 파킹 서포트,48,
270,2600000,제어시스템,어댑티브 크루즈 컨트롤,48,
271,3400000,제어시스템,액티브 차선 유지 기능 + 어댑티브 크루즈 컨트롤,48,
272,4900000,편의기능,Burmester 하이엔드 서라운드 사운드 시스템,48,
273,3300000,성능,프런트 액슬 리프트 시스템,48,
274,4500000,편의기능,틴티드 HD 매트릭스 LED 헤드라이트,48,
275,1300000,성능,20/21인치 카레라 익스클루시브 디자인 휠,49,
276,7400000,성능,에어로킷 + 카본,49,
277,4100000,성능,에어로킷,49,
278,3900000,편의기능,나이트 뷰 어시스트,49,
279,2300000,편의기능,서라운드 뷰 + 액티브 파킹 서포트,49,
280,2600000,제어시스템,어댑티브 크루즈 컨트롤,49,
281,3400000,제어시스템,액티브 차선 유지 기능 + 어댑티브 크루즈 컨트롤,49,
282,4900000,편의기능,Burmester 하이엔드 서라운드 사운드 시스템,49,
283,3300000,성능,프런트 액슬 리프트 시스템,49,
284,4500000,편의기능,틴티드 HD 매트릭스 LED 헤드라이트,49,
285,24300000,성능,20/21인치 911 GT3 마그네슘 경량 단조 휠,50,
286,33800000,성능,바이작 패키지,50,
287,27500000,성능,바이작 패키지 / 롤 케이지 미포함,50,
288,2300000,편의기능,헤드업 디스플레이,51,
289,3300000,편의기능,나이트 비전 어시스트,51,
290,700000,편의기능,리모트 파크 어시스트,51,
291,1000000,편의기능,소프트 클로즈 도어,51,
292,2000000,편의기능,조수석 디스플레이,51,
293,6700000,편의기능,Burmester 3D 하이엔드 서라운드 사운드 시스템,51,
294,500000,편의기능,포르쉐 리어 시트 엔터테인먼트 준비 옵션,51,
295,2800000,편의기능,포르쉐 리어 시트 엔터테인먼트,51,
296,2000000,편의기능,헤드업 디스플레이,52,
297,3900000,편의기능,나이트 비전 어시스트,52,
298,700000,편의기능,리모트 파크 어시스트,52,
299,2300000,편의기능,조수석 디스플레이,52,
300,8100000,편의기능,Burmester 3D 하이엔드 서라운드 사운드 시스템,52,
301,500000,편의기능,포르쉐 리어 시트 엔터테인먼트 준비 옵션,52,
302,2900000,편의기능,포르쉐 리어 시트 엔터테인먼트,52,
303,4522000,자동운전,향상된 오토파일럿,82,
304,9043000,자동운전,풀 셀프 드라이빙,82,
305,4522000,자동운전,향상된 오토파일럿,83,
306,9043000,자동운전,풀 셀프 드라이빙,83,
307,4522000,자동운전,향상된 오토파일럿,84,
308,9043000,자동운전,풀 셀프 드라이빙,84,
309,4522000,자동운전,향상된 오토파일럿,85,
310,9043000,자동운전,풀 셀프 드라이빙,85,
311,2222000,편의기능,견인 팩,93,
312,2222000,편의기능,견인 팩,94,
313,2222000,편의기능,견인 팩,95,
314,2904000,편의기능,컴포트 팩,95,
315,2222000,편의기능,견인 팩,96,
316,2904000,편의기능,컴포트 팩,96,
